school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,last_updated_on,breakdown_or_running_late,school_age_or_prek,how_long_delayed,incident_number
2015-2016,1229508,Pre-K/EI,1210,P10,Heavy Traffic,S010,2015-11-13T15:11:00.000,2015-11-13T15:20:00.000,Brooklyn,FIRST STEPS,7,Yes,Yes,No,2015-11-13T15:20:00.000,2015-11-13T15:20:16.000,Running Late,Pre-K,15 MIN.,
2015-2016,1229509,Special Ed PM Run,411D,Q731,Mechanical Problem,26094,2015-11-13T15:04:00.000,2015-11-13T15:20:00.000,Queens,LITTLE RICHIE BUS SERVICE,11,Yes,Yes,No,2015-11-13T15:20:00.000,2015-11-13T15:20:48.000,Breakdown,School-Age,,
2015-2016,1229510,Special Ed PM Run,856,N998,Won`t Start,75915,2015-11-13T15:21:00.000,2015-11-13T15:22:00.000,Nassau County,LOGAN BUS COMPANY INC.,2,Yes,Yes,No,2015-11-13T15:22:00.000,2015-11-13T15:22:54.000,Breakdown,School-Age,,
2015-2016,1229512,General Ed PM Run,2230,K9410,Heavy Traffic,14157,2015-11-13T15:30:00.000,2015-11-13T15:47:00.000,Brooklyn,ALLIED TRANSIT CORP.,15,Yes,Yes,No,2015-11-13T15:47:00.000,2015-11-13T15:47:42.000,Running Late,School-Age,30 min,
2015-2016,1229513,Special Ed AM Run,5819D,X965,Delayed by School,09241,2015-11-13T15:43:00.000,2015-11-13T15:49:00.000,Bronx,LITTLE RICHIE BUS SERVICE,6,No,Yes,No,2015-11-13T15:49:00.000,2015-11-13T15:49:54.000,Running Late,School-Age,35 mins.,
2015-2016,1229514,General Ed PM Run,20345,K9961,Other,23684,2015-11-13T15:50:00.000,2015-11-13T15:53:00.000,Brooklyn,"BORO TRANSIT, INC.",0,Yes,No,No,2015-11-13T15:53:00.000,2015-11-13T15:53:16.000,Running Late,School-Age,,
2015-2016,1229516,Pre-K/EI,093,17,Other,C579,2015-11-13T16:10:00.000,2015-11-13T16:13:00.000,Bronx,"G.V.C., LTD.",6,Yes,Yes,No,2015-11-13T16:13:00.000,2015-11-13T16:13:56.000,Running Late,Pre-K,10MINUTES,
2015-2016,1229517,Pre-K/EI,340,17B,Other,C579,2015-11-13T16:12:00.000,2015-11-13T16:20:00.000,Bronx,"G.V.C., LTD.",1,Yes,Yes,No,2015-11-13T16:20:00.000,2015-11-13T17:00:48.000,Running Late,Pre-K,5MINUTES,
2015-2016,1229518,Pre-K/EI,2529,KD5,Heavy Traffic,C351,2015-11-13T16:20:00.000,2015-11-13T16:23:00.000,Bronx,ANOTHER RIDE INC.,7,Yes,Yes,No,2015-11-13T16:23:00.000,2015-11-13T16:23:11.000,Running Late,Pre-K,20 MIN.,
2015-2016,1229519,Special Ed PM Run,415,K577,Mechanical Problem,13307,2015-11-13T16:22:00.000,2015-11-13T16:24:00.000,Brooklyn,Y & M TRANSIT CORP (B2192,2,Yes,Yes,No,2015-11-13T16:24:00.000,2015-11-13T16:24:16.000,Breakdown,School-Age,,
2015-2016,1229523,Special Ed PM Run,1728,M960,Heavy Traffic,02968,2015-11-13T16:40:00.000,2015-11-13T16:41:00.000,Manhattan,PHILLIP BUS CORP (B2192),2,No,No,Yes,2015-11-13T16:41:00.000,2015-11-13T16:41:32.000,Running Late,School-Age,20mins,
2015-2016,1229528,Special Ed AM Run,2562,L681,Other,18115,2015-11-16T05:45:00.000,2015-11-16T05:48:00.000,Brooklyn,"RELIANT TRANS, INC. (B232",0,No,No,Yes,2015-11-16T05:48:00.000,2015-11-16T05:48:58.000,Running Late,School-Age,20 MIN,
2015-2016,1229534,Special Ed AM Run,013019,X880,Heavy Traffic,27053,2015-11-16T06:08:00.000,2015-11-16T06:14:00.000,Queens,HOYT TRANSPORTATION CORP.,0,Yes,Yes,No,2015-11-16T06:14:00.000,2015-11-16T06:29:17.000,Running Late,School-Age,25 mint,
2015-2016,1229536,Special Ed AM Run,1825,L019,Heavy Traffic,"14471,15854",2015-11-16T06:16:00.000,2015-11-16T06:18:00.000,Manhattan,B & F SKILLED INC.(B2192),0,Yes,Yes,No,2015-11-16T06:18:00.000,2015-11-16T07:58:19.000,Running Late,School-Age,45 mins,
2015-2016,1229537,Special Ed AM Run,1526,M466,Flat Tire,03825,2015-11-16T06:05:00.000,2015-11-16T06:19:00.000,Manhattan,FIRST STEPS TRANSP INC. (,0,Yes,Yes,Yes,2015-11-16T06:19:00.000,2015-11-16T06:19:43.000,Running Late,School-Age,30 mins,
2015-2016,1229539,Special Ed AM Run,72,M948,Other,"02806,02104,02806",2015-11-16T06:03:00.000,2015-11-16T06:21:00.000,Manhattan,CAREFUL BUS,5,Yes,Yes,No,2015-11-16T06:21:00.000,2015-11-16T06:44:31.000,Running Late,School-Age,30MIN,
2015-2016,1229540,Special Ed AM Run,4512,M353,Mechanical Problem,05100,2015-11-16T06:19:00.000,2015-11-16T06:22:00.000,Manhattan,"RELIANT TRANS, INC. (B232",1,Yes,Yes,Yes,2015-11-16T06:22:00.000,2015-11-16T07:10:58.000,Breakdown,School-Age,,
2015-2016,1229543,General Ed AM Run,2339V,K1557,Other,15010,2015-11-16T06:13:00.000,2015-11-16T06:24:00.000,Brooklyn,ALL AMERICAN SCHOOL BUS C,0,No,No,No,2015-11-16T06:24:00.000,2015-11-16T06:24:19.000,Running Late,School-Age,20MINS,
2015-2016,1229546,Special Ed AM Run,1331,M105,Heavy Traffic,01616,2015-11-16T06:26:00.000,2015-11-16T06:26:00.000,Manhattan,LEESEL TRANSP CORP (B2192,2,Yes,Yes,No,2015-11-16T06:26:00.000,2015-11-16T06:26:49.000,Running Late,School-Age,20,
2015-2016,1229547,Special Ed AM Run,1110,L658,Heavy Traffic,14680,2015-11-16T06:26:00.000,2015-11-16T06:28:00.000,Brooklyn,"RELIANT TRANS, INC. (B232",0,No,No,Yes,2015-11-16T06:28:00.000,2015-11-16T06:28:08.000,Running Late,School-Age,20 MIN,
2015-2016,1229548,Special Ed AM Run,1404,M106,Heavy Traffic,01616,2015-11-16T06:26:00.000,2015-11-16T06:28:00.000,Manhattan,LEESEL TRANSP CORP (B2192,2,Yes,Yes,No,2015-11-16T06:28:00.000,2015-11-16T06:28:06.000,Running Late,School-Age,20,
2015-2016,1229551,Special Ed AM Run,2024,K645,Heavy Traffic,20170,2015-11-16T06:28:00.000,2015-11-16T06:29:00.000,Brooklyn,"RELIANT TRANS, INC. (B232",0,No,No,Yes,2015-11-16T06:29:00.000,2015-11-16T06:29:39.000,Running Late,School-Age,20 MIN,
2015-2016,1229552,Special Ed AM Run,1427,M185,Heavy Traffic,01400,2015-11-16T06:29:00.000,2015-11-16T06:29:00.000,Manhattan,LEESEL TRANSP CORP (B2192,2,Yes,Yes,No,2015-11-16T06:29:00.000,2015-11-16T06:29:41.000,Running Late,School-Age,20,
2015-2016,1229553,Special Ed AM Run,57115,N281,Flat Tire,75910,2015-11-16T06:15:00.000,2015-11-16T06:30:00.000,Nassau County,"BORO TRANSIT, INC.",0,Yes,Yes,No,2015-11-16T06:30:00.000,2015-11-16T06:30:27.000,Running Late,School-Age,30 min,
2015-2016,1229557,Special Ed AM Run,2119,L550,Heavy Traffic,14031,2015-11-16T06:29:00.000,2015-11-16T06:31:00.000,Brooklyn,"RELIANT TRANS, INC. (B232",0,No,No,Yes,2015-11-16T06:31:00.000,2015-11-16T06:31:18.000,Running Late,School-Age,10 MIN,
2015-2016,1229558,General Ed AM Run,234,X2278,Heavy Traffic,08100,2015-11-16T06:29:00.000,2015-11-16T06:31:00.000,Bronx,PIONEER TRANSPORTATION CO,0,Yes,No,No,2015-11-16T06:31:00.000,2015-11-16T06:31:54.000,Running Late,School-Age,15 minutes,
2015-2016,1229559,Special Ed AM Run,44291,R806,Other,31078,2015-11-16T06:20:00.000,2015-11-16T06:32:00.000,Staten Island,"BORO TRANSIT, INC.",0,Yes,Yes,No,2015-11-16T06:32:00.000,2015-11-16T06:32:25.000,Running Late,School-Age,30 min,
2015-2016,1229560,Special Ed AM Run,41269,Q830,Other,25107,2015-11-16T06:30:00.000,2015-11-16T06:32:00.000,Queens,"BORO TRANSIT, INC.",0,Yes,Yes,No,2015-11-16T06:32:00.000,2015-11-16T06:32:53.000,Running Late,School-Age,30 MINS,
2015-2016,1229561,Special Ed AM Run,44292,R808,Other,31905,2015-11-16T06:25:00.000,2015-11-16T06:34:00.000,Staten Island,"BORO TRANSIT, INC.",0,Yes,Yes,No,2015-11-16T06:34:00.000,2015-11-16T06:34:20.000,Running Late,School-Age,30 min,
2015-2016,1229562,Special Ed AM Run,2304,K264,Accident,19346,2015-11-16T06:30:00.000,2015-11-16T06:34:00.000,Brooklyn,ALLIED TRANSIT CORP.,0,Yes,Yes,No,2015-11-16T06:34:00.000,2015-11-16T06:34:23.000,Running Late,School-Age,20-30 min,
2015-2016,1229563,Special Ed AM Run,1403,M367,Heavy Traffic,02533,2015-11-16T06:31:00.000,2015-11-16T06:34:00.000,Manhattan,LEESEL TRANSP CORP (B2192,1,Yes,Yes,No,2015-11-16T06:34:00.000,2015-11-16T06:34:33.000,Running Late,School-Age,1403,
2015-2016,1229564,Special Ed AM Run,1832,L031,Heavy Traffic,20865,2015-11-16T06:34:00.000,2015-11-16T06:35:00.000,Brooklyn,B & F SKILLED INC.(B2192),0,Yes,Yes,No,2015-11-16T06:35:00.000,2015-11-16T07:36:39.000,Running Late,School-Age,15 mins,
2015-2016,1229565,Special Ed AM Run,2714,M965,Heavy Traffic,02909,2015-11-16T06:34:00.000,2015-11-16T06:35:00.000,Manhattan,LEESEL TRANSP CORP (B2192,1,Yes,Yes,No,2015-11-16T06:35:00.000,2015-11-16T06:37:27.000,Running Late,School-Age,40,
2015-2016,1215070,Special Ed AM Run,2734,K902,Heavy Traffic,16005,2015-09-16T08:02:00.000,2015-09-16T08:35:00.000,Brooklyn,"RELIANT TRANS, INC. (B232",5,Yes,Yes,Yes,2015-09-16T08:35:00.000,2015-09-16T08:35:58.000,Running Late,School-Age,20 min,
2015-2016,1215744,Special Ed AM Run,NI-4486,K107,Heavy Traffic,21423,2015-09-18T07:11:00.000,2015-09-18T07:14:00.000,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",4,Yes,Yes,No,2015-09-18T07:14:00.000,2015-09-18T07:14:31.000,Running Late,School-Age,30 MINS,
2015-2016,1229566,Special Ed AM Run,1358,M490,Heavy Traffic,03004,2015-11-16T06:35:00.000,2015-11-16T06:36:00.000,Manhattan,LEESEL TRANSP CORP (B2192,1,Yes,Yes,No,2015-11-16T06:36:00.000,2015-11-16T06:37:18.000,Running Late,School-Age,30,
2015-2016,1229567,Special Ed AM Run,1469,M425,Heavy Traffic,04155,2015-11-16T06:36:00.000,2015-11-16T06:37:00.000,Manhattan,LEESEL TRANSP CORP (B2192,2,Yes,Yes,No,2015-11-16T06:37:00.000,2015-11-16T06:37:06.000,Running Late,School-Age,10,
2015-2016,1229568,Special Ed AM Run,52058,M883,Mechanical Problem,02150,2015-11-16T06:25:00.000,2015-11-16T06:37:00.000,Manhattan,CONSOLIDATED BUS TRANS. I,0,No,No,Yes,2015-11-16T06:37:00.000,2015-11-16T06:37:20.000,Running Late,School-Age,1 HOUR,
2015-2016,1229569,Special Ed AM Run,1386,M486,Heavy Traffic,02419,2015-11-16T06:37:00.000,2015-11-16T06:38:00.000,Manhattan,LEESEL TRANSP CORP (B2192,0,Yes,Yes,No,2015-11-16T06:38:00.000,2015-11-16T06:38:06.000,Running Late,School-Age,20,
2015-2016,1229570,Special Ed AM Run,1354,M521,Heavy Traffic,02566,2015-11-16T06:38:00.000,2015-11-16T06:38:00.000,Manhattan,LEESEL TRANSP CORP (B2192,1,Yes,Yes,No,2015-11-16T06:38:00.000,2015-11-16T06:38:41.000,Running Late,School-Age,50,
2015-2016,1229571,Special Ed AM Run,1456,M536,Heavy Traffic,02312,2015-11-16T06:38:00.000,2015-11-16T06:39:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:39:00.000,2015-11-16T06:39:18.000,Running Late,School-Age,20,
2015-2016,1229572,Special Ed AM Run,10302,K130,Other,16409,2015-11-16T06:30:00.000,2015-11-16T06:39:00.000,Brooklyn,"BORO TRANSIT, INC.",0,Yes,Yes,No,2015-11-16T06:39:00.000,2015-11-16T06:39:23.000,Running Late,School-Age,20 min,
2015-2016,1229573,Special Ed AM Run,2418,M998,Heavy Traffic,03408,2015-11-16T06:38:00.000,2015-11-16T06:39:00.000,Manhattan,"RELIANT TRANS, INC. (B232",0,No,No,Yes,2015-11-16T06:39:00.000,2015-11-16T06:39:33.000,Running Late,School-Age,25 MIN,
2015-2016,1229577,Special Ed AM Run,7028,M652,Heavy Traffic,02667,2015-11-16T06:35:00.000,2015-11-16T06:41:00.000,Manhattan,LEESEL TRANSP CORP (B2192,1,Yes,Yes,Yes,2015-11-16T06:41:00.000,2015-11-16T06:41:31.000,Running Late,School-Age,20,
2015-2016,1229578,Special Ed AM Run,2304,K264,Accident,19346,2015-11-16T06:30:00.000,2015-11-16T06:41:00.000,Brooklyn,ALLIED TRANSIT CORP.,0,Yes,Yes,No,2015-11-16T06:41:00.000,2015-11-16T06:41:35.000,Running Late,School-Age,1hr,
2015-2016,1229579,Special Ed AM Run,2725,K891,Won`t Start,15371,2015-11-16T06:41:00.000,2015-11-16T06:42:00.000,Brooklyn,"RELIANT TRANS, INC. (B232",0,Yes,Yes,Yes,2015-11-16T06:42:00.000,2015-11-16T07:55:17.000,Breakdown,School-Age,,
2015-2016,1225823,Pre-K/EI,0008,14 AM,Other,C074,2015-10-29T06:30:00.000,2015-10-29T06:37:00.000,Brooklyn,PENNY TRANSPORTATION,0,Yes,Yes,No,2015-10-29T06:37:00.000,2015-10-29T06:37:47.000,Running Late,Pre-K,35 Minutes,
2015-2016,1229580,Special Ed AM Run,52058,M883,Mechanical Problem,02150,2015-11-16T06:25:00.000,2015-11-16T06:43:00.000,Manhattan,CONSOLIDATED BUS TRANS. I,0,No,No,Yes,2015-11-16T06:43:00.000,2015-11-16T06:43:29.000,Running Late,School-Age,1 HOUR,
2015-2016,1229581,Special Ed AM Run,1482D,X890,Won`t Start,11153,2015-11-16T06:40:00.000,2015-11-16T06:43:00.000,Bronx,LITTLE LISA BUS CO. INC.,0,Yes,Yes,No,2015-11-16T06:43:00.000,2015-11-16T08:05:43.000,Breakdown,School-Age,,
2015-2016,1229582,Special Ed AM Run,1315,M587,Heavy Traffic,02568,2015-11-16T06:43:00.000,2015-11-16T06:44:00.000,Manhattan,LEESEL TRANSP CORP (B2192,1315,Yes,Yes,No,2015-11-16T06:44:00.000,2015-11-16T06:44:13.000,Running Late,School-Age,20,
2015-2016,1229583,General Ed AM Run,1601,K1739,Heavy Traffic,"17189,17685",2015-11-16T06:40:00.000,2015-11-16T06:44:00.000,Brooklyn,JOFAZ TRANSPORTATION INC.,0,Yes,Yes,No,2015-11-16T06:44:00.000,2015-11-16T06:44:40.000,Running Late,School-Age,35min,
2015-2016,1229584,General Ed AM Run,2599,Q2471,Mechanical Problem,24119,2015-11-16T06:43:00.000,2015-11-16T06:44:00.000,Queens,BOBBY`S BUS CO. INC.,0,Yes,No,No,2015-11-16T06:44:00.000,2015-11-16T06:44:50.000,Breakdown,School-Age,,
2015-2016,1229587,Special Ed AM Run,1337,M624,Heavy Traffic,04839,2015-11-16T06:45:00.000,2015-11-16T06:45:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:45:00.000,2015-11-16T06:45:59.000,Running Late,School-Age,20,
2017-2018,1423867,Special Ed AM Run,2541,K499,Heavy Traffic,"14450,14467",2018-03-26T05:51:00.000,2018-03-26T05:53:00.000,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",0,Yes,Yes,Yes,2018-03-26T05:53:00.000,1900-01-01T00:00:00.000,Running Late,School-Age,46-60 Min,
2017-2018,1423869,General Ed AM Run,3007,K1606,Heavy Traffic,"16005,16593",2018-03-26T05:59:00.000,2018-03-26T06:00:00.000,Brooklyn,"MV TRANSPORTATION, INC.",0,Yes,Yes,Yes,2018-03-26T06:00:00.000,1900-01-01T00:00:00.000,Running Late,School-Age,16-30 Min,
2015-2016,1214129,Pre-K/EI,1115,18,Other,C814,2015-09-10T17:00:00.000,2015-09-10T17:27:00.000,Bronx,"G.V.C., LTD.",3,Yes,Yes,No,2015-09-10T17:27:00.000,2015-09-10T17:27:19.000,Running Late,Pre-K,20minutes,
2015-2016,1215071,Special Ed AM Run,1466,M779,Heavy Traffic,02202,2015-09-16T08:35:00.000,2015-09-16T08:36:00.000,Manhattan,LEESEL TRANSP CORP (B2192,5,Yes,Yes,No,2015-09-16T08:36:00.000,2015-09-16T08:36:02.000,Running Late,School-Age,20,
2015-2016,1215745,General Ed AM Run,416,R1106,Heavy Traffic,31054,2015-09-18T07:12:00.000,2015-09-18T07:15:00.000,Staten Island,PIONEER TRANSPORTATION CO,0,Yes,No,No,2015-09-18T07:15:00.000,2015-09-18T07:15:19.000,Running Late,School-Age,15 mins,
2015-2016,1215747,Special Ed AM Run,1836,L015,Flat Tire,18002,2015-09-18T07:16:00.000,2015-09-18T07:16:00.000,Bronx,B & F SKILLED INC.(B2192),0,No,Yes,No,2015-09-18T07:16:00.000,2015-09-18T07:16:33.000,Running Late,School-Age,20 mins,
2015-2016,1226018,Special Ed AM Run,013014,X878,Other,10505,2015-10-29T07:44:00.000,2015-10-29T07:49:00.000,Bronx,HOYT TRANSPORTATION CORP.,3,Yes,Yes,No,2015-10-29T07:49:00.000,2015-10-29T07:49:02.000,Running Late,School-Age,30 min,
2015-2016,1229588,Special Ed AM Run,1333,M633,Heavy Traffic,02622,2015-11-16T06:46:00.000,2015-11-16T06:46:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:46:00.000,2015-11-16T06:46:35.000,Running Late,School-Age,20,
2015-2016,1229589,Special Ed AM Run,415,K577,Mechanical Problem,"13307,13655,13560",2015-11-16T06:25:00.000,2015-11-16T06:46:00.000,Brooklyn,Y & M TRANSIT CORP (B2192,0,Yes,No,No,2015-11-16T06:46:00.000,2015-11-16T08:17:11.000,Breakdown,School-Age,,
2015-2016,1229591,General Ed AM Run,2599,Q2471,Mechanical Problem,24119,2015-11-16T06:45:00.000,2015-11-16T06:47:00.000,Queens,BOBBY`S BUS CO. INC.,0,Yes,No,No,2015-11-16T06:47:00.000,2015-11-16T06:47:18.000,Breakdown,School-Age,,
2015-2016,1229593,Special Ed AM Run,14102,M705,Heavy Traffic,03279,2015-11-16T06:47:00.000,2015-11-16T06:47:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:47:00.000,2015-11-16T06:47:46.000,Running Late,School-Age,20,
2015-2016,1229594,Pre-K/EI,2528,MN-3,Heavy Traffic,C041,2015-11-16T06:40:00.000,2015-11-16T06:47:00.000,Bronx,"DON THOMAS BUSES, INC.",1,Yes,Yes,No,2015-11-16T06:47:00.000,2015-11-16T06:47:53.000,Running Late,Pre-K,30 MIN,
2015-2016,1229595,Special Ed AM Run,1102,M716,Heavy Traffic,02398,2015-11-16T06:47:00.000,2015-11-16T06:48:00.000,Manhattan,LEESEL TRANSP CORP (B2192,2,Yes,Yes,No,2015-11-16T06:48:00.000,2015-11-16T06:48:18.000,Running Late,School-Age,30,
2015-2016,1229596,Special Ed AM Run,8962D,X679,Flat Tire,08410,2015-11-16T06:45:00.000,2015-11-16T06:48:00.000,Bronx,LITTLE RICHIE BUS SERVICE,0,Yes,Yes,No,2015-11-16T06:48:00.000,2015-11-16T08:07:16.000,Breakdown,School-Age,,
2015-2016,1229597,General Ed AM Run,2348,X2131,Other,09730,2015-11-16T06:48:00.000,2015-11-16T06:48:00.000,Bronx,BOBBY`S BUS CO. INC.,0,Yes,Yes,No,2015-11-16T06:48:00.000,2015-11-16T06:48:37.000,Breakdown,School-Age,,
2015-2016,1229598,Special Ed AM Run,1454,M762,Heavy Traffic,03420,2015-11-16T06:48:00.000,2015-11-16T06:49:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:49:00.000,2015-11-16T06:49:01.000,Running Late,School-Age,20,
2015-2016,1229599,Special Ed AM Run,1350,M769,Heavy Traffic,02089,2015-11-16T06:49:00.000,2015-11-16T06:49:00.000,Manhattan,LEESEL TRANSP CORP (B2192,4,Yes,Yes,No,2015-11-16T06:49:00.000,2015-11-16T06:49:46.000,Running Late,School-Age,20,
2015-2016,1229604,Special Ed AM Run,1328,M906,Heavy Traffic,02124,2015-11-16T06:51:00.000,2015-11-16T06:51:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:51:00.000,2015-11-16T06:51:49.000,Running Late,School-Age,20,
2017-2018,1423872,Special Ed AM Run,V93,R841,Heavy Traffic,31665,2018-03-26T06:03:00.000,2018-03-26T06:04:00.000,Staten Island,PIONEER TRANSPORTATION CORP,0,Yes,No,No,2018-03-26T06:04:00.000,1900-01-01T00:00:00.000,Running Late,School-Age,16-30 Min,
2017-2018,1423873,Special Ed AM Run,2402,R589,Heavy Traffic,"31027,31055,31415",2018-03-26T06:01:00.000,2018-03-26T06:05:00.000,Staten Island,"RELIANT TRANSPORTATION, INC (B2321)",0,Yes,Yes,Yes,2018-03-26T06:05:00.000,1900-01-01T00:00:00.000,Running Late,School-Age,46-60 Min,
2017-2018,1423901,Special Ed AM Run,1446,M704,Heavy Traffic,"01301,01420",2018-03-26T06:15:00.000,2018-03-26T06:16:00.000,Manhattan,LEESEL TRANSPORTATION CORP (B2192),0,Yes,Yes,No,2018-03-26T06:16:00.000,1900-01-01T00:00:00.000,Running Late,School-Age,16-30 Min,
2017-2018,1423933,Special Ed AM Run,5893D,X544,Won`t Start,07554,2018-03-26T06:28:00.000,2018-03-26T06:29:00.000,Bronx,LITTLE RICHIE BUS SERVICE,0,Yes,Yes,No,2018-03-26T06:29:00.000,1900-01-01T00:00:00.000,Breakdown,School-Age,,
2017-2018,1423934,Special Ed AM Run,36231,K440,Mechanical Problem,"14257,14459,14465",2018-03-26T06:20:00.000,2018-03-26T06:29:00.000,Brooklyn,"BORO TRANSIT, INC.",0,Yes,Yes,No,2018-03-26T06:29:00.000,1900-01-01T00:00:00.000,Running Late,School-Age,0-15 Min,
2015-2016,1226705,Special Ed AM Run,4113,Q149,Heavy Traffic,24113,2015-11-02T07:19:00.000,2015-11-02T07:21:00.000,Queens,L & M BUS CORP. (B2192),12,Yes,Yes,No,2015-11-02T07:21:00.000,2015-11-02T13:44:04.000,Running Late,School-Age,15 mins,
2015-2016,1228662,Pre-K/EI,GV0365,3,Heavy Traffic,C579,2015-11-10T08:35:00.000,2015-11-10T08:40:00.000,Bronx,"G.V.C., LTD.",1,Yes,Yes,No,2015-11-10T08:40:00.000,2015-11-10T08:40:07.000,Running Late,Pre-K,10 MIN,
2015-2016,1229605,General Ed AM Run,2360,X2115,Other,11703,2015-11-16T06:50:00.000,2015-11-16T06:52:00.000,Bronx,"GRANDPA`S BUS CO., INC.",0,Yes,Yes,No,2015-11-16T06:52:00.000,2015-11-16T07:37:39.000,Breakdown,School-Age,,
2015-2016,1229614,Special Ed AM Run,1332,M946,Heavy Traffic,02104,2015-11-16T06:54:00.000,2015-11-16T06:54:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:54:00.000,2015-11-16T06:54:31.000,Running Late,School-Age,20,
2015-2016,1229620,Special Ed AM Run,6:55 AM,M967,Heavy Traffic,02347,2015-11-16T06:55:00.000,2015-11-16T06:55:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:55:00.000,2015-11-16T06:55:41.000,Running Late,School-Age,20,
2015-2016,1229621,Special Ed AM Run,6:56 AM,M985,Heavy Traffic,03075,2015-11-16T06:55:00.000,2015-11-16T06:56:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T06:56:00.000,2015-11-16T06:56:18.000,Running Late,School-Age,20,
2015-2016,1229622,Special Ed AM Run,5798D,X683,Flat Tire,09413,2015-11-16T06:55:00.000,2015-11-16T06:57:00.000,Bronx,LITTLE RICHIE BUS SERVICE,0,No,Yes,No,2015-11-16T06:57:00.000,2015-11-16T06:57:30.000,Breakdown,School-Age,,
2015-2016,1229623,Special Ed AM Run,36265,X432,Mechanical Problem,11505,2015-11-16T06:50:00.000,2015-11-16T06:57:00.000,Bronx,CONSOLIDATED BUS TRANS. I,0,Yes,No,No,2015-11-16T06:57:00.000,2015-11-16T06:57:50.000,Running Late,School-Age,45 MIN,
2015-2016,1229625,General Ed AM Run,2680,Q2462,Mechanical Problem,24012,2015-11-16T06:56:00.000,2015-11-16T06:59:00.000,Queens,BOBBY`S BUS CO. INC.,0,Yes,No,No,2015-11-16T06:59:00.000,2015-11-16T06:59:37.000,Breakdown,School-Age,,
2015-2016,1229627,Special Ed AM Run,1445D,X896,Flat Tire,10390,2015-11-16T06:50:00.000,2015-11-16T07:00:00.000,Bronx,LITTLE LISA BUS CO. INC.,1,Yes,Yes,No,2015-11-16T07:00:00.000,2015-11-16T07:00:22.000,Breakdown,School-Age,,
2015-2016,1229630,General Ed AM Run,19579,K2115,Other,21677,2015-11-16T06:55:00.000,2015-11-16T07:03:00.000,Brooklyn,SNT BUS INC,0,Yes,Yes,No,2015-11-16T07:03:00.000,2015-11-16T07:03:19.000,Running Late,School-Age,40 min,
2015-2016,1229631,Special Ed AM Run,9240,W749,Heavy Traffic,75944,2015-11-16T06:43:00.000,2015-11-16T07:03:00.000,Westchester,ALL COUNTY BUS LLC (B2321,0,No,Yes,No,2015-11-16T07:03:00.000,2015-11-16T07:03:30.000,Running Late,School-Age,15-20 min,
2015-2016,1229632,Special Ed AM Run,1373,M070,Heavy Traffic,01378,2015-11-16T07:03:00.000,2015-11-16T07:03:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-16T07:03:00.000,2015-11-16T07:03:34.000,Running Late,School-Age,20,
2015-2016,1229634,Special Ed AM Run,1803,R820,Heavy Traffic,"31905,31435",2015-11-16T07:03:00.000,2015-11-16T07:04:00.000,Staten Island,B & F SKILLED INC.(B2192),2,Yes,Yes,No,2015-11-16T07:04:00.000,2015-11-16T07:39:45.000,Running Late,School-Age,20mins,
2015-2016,1229635,Special Ed AM Run,4448D,Q641,Won`t Start,30469,2015-11-16T06:55:00.000,2015-11-16T07:04:00.000,Queens,LITTLE RICHIE BUS SERVICE,0,Yes,Yes,No,2015-11-16T07:04:00.000,2015-11-16T07:04:28.000,Breakdown,School-Age,,
2015-2016,1229636,Special Ed AM Run,1443D,X941,Won`t Start,11556,2015-11-16T07:00:00.000,2015-11-16T07:04:00.000,Bronx,LITTLE LISA BUS CO. INC.,1,Yes,Yes,No,2015-11-16T07:04:00.000,2015-11-16T07:04:56.000,Breakdown,School-Age,,
2015-2016,1229637,Special Ed AM Run,43237,X815,Mechanical Problem,12084,2015-11-16T06:50:00.000,2015-11-16T07:04:00.000,Bronx,"BORO TRANSIT, INC.",0,Yes,No,Yes,2015-11-16T07:04:00.000,2015-11-16T07:04:54.000,Running Late,School-Age,45 MIN,
2015-2016,1229638,Special Ed AM Run,NI-1519,K194,Mechanical Problem,16005,2015-11-16T07:01:00.000,2015-11-16T07:04:00.000,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",0,Yes,No,No,2015-11-16T07:04:00.000,2015-11-16T07:05:10.000,Running Late,School-Age,45 MINS,
